course_id,topic,uri
COMP 6231 Distributed System Design,distributed computing,http://dbpedia.org/resource/Distributed_computing
COMP 6231 Distributed System Design,scalability,http://dbpedia.org/resource/Scalability
COMP 6231 Distributed System Design,concurrency,http://dbpedia.org/resource/Concurrent_computing
COMP 6231 Distributed System Design,fault tolerance,http://dbpedia.org/resource/Fault_tolerance
COMP 6231 Distributed System Design,client-server,http://dbpedia.org/resource/Client�server_model
COMP 6231 Distributed System Design,interprocess communication,http://dbpedia.org/resource/Inter-process_communication
COMP 6231 Distributed System Design,communication,http://dbpedia.org/resource/Communication
COMP 6231 Distributed System Design,remote procedure call,http://dbpedia.org/resource/Remote_procedure_call
COMP 6231 Distributed System Design,corba,http://dbpedia.org/resource/Common_Object_Request_Broker_Architecture
COMP 6231 Distributed System Design,server,http://dbpedia.org/resource/Web_server
COMP 6231 Distributed System Design,fault tolerance,http://dbpedia.org/resource/Fault_tolerance
COMP 6231 Distributed System Design,concurrency control,http://dbpedia.org/resource/Concurrency_control
COMP 6231 Distributed System Design,fault-tolerant,http://dbpedia.org/resource/Fault_tolerance
COMP 6231 Distributed System Design,distributed systems,http://dbpedia.org/resource/Distributed_computing
COMP 6281 Parallel Programming (*),neumann,http://dbpedia.org/resource/Balthasar_Neumann
COMP 6281 Parallel Programming (*),parallel processing,http://dbpedia.org/resource/Parallel_computing
COMP 6281 Parallel Programming (*),message-passing,http://dbpedia.org/resource/Message_passing
COMP 6281 Parallel Programming (*),massively parallel,http://dbpedia.org/resource/MIMD
COMP 6281 Parallel Programming (*),commodity,http://dbpedia.org/resource/Commodity_computing
COMP 6281 Parallel Programming (*),parallel processing,http://dbpedia.org/resource/Parallel_computing
COMP 6281 Parallel Programming (*),multi-core,http://dbpedia.org/resource/Multi-core_processor
COMP 6281 Parallel Programming (*),heterogeneous computing,http://dbpedia.org/resource/Heterogeneous_computing
COMP 6281 Parallel Programming (*),memory,http://dbpedia.org/resource/Computer_memory
COMP 6281 Parallel Programming (*),load balancing,http://dbpedia.org/resource/Weight_distribution
COMP 6281 Parallel Programming (*),message passing,http://dbpedia.org/resource/Message_passing
COMP 6281 Parallel Programming (*),scalability,http://dbpedia.org/resource/Scalability
COMP 6281 Parallel Programming (*),parallel programming,http://dbpedia.org/resource/Parallel_computing
COMP 6281 Parallel Programming (*),parallel programming,http://dbpedia.org/resource/Parallel_computing
COMP 6311 Animation for Computer Games (*),traditional animation,http://dbpedia.org/resource/Traditional_animation
COMP 6311 Animation for Computer Games (*),pipeline,http://dbpedia.org/resource/Graphics_pipeline
COMP 6311 Animation for Computer Games (*),interpolation,http://dbpedia.org/resource/Interpolation
COMP 6311 Animation for Computer Games (*),inverse kinematics,http://dbpedia.org/resource/Inverse_kinematics
COMP 6311 Animation for Computer Games (*),motion control,http://dbpedia.org/resource/Motion_control
COMP 6311 Animation for Computer Games (*),free-form deformation,http://dbpedia.org/resource/Free-form_deformation
COMP 6321 Machine Learning,machine learning,http://dbpedia.org/resource/Machine_learning
COMP 6321 Machine Learning,polynomial regression,http://dbpedia.org/resource/Polynomial_regression
COMP 6321 Machine Learning,overfitting,http://dbpedia.org/resource/Overfitting
COMP 6321 Machine Learning,model selection,http://dbpedia.org/resource/Model_selection
COMP 6321 Machine Learning,logistic regression,http://dbpedia.org/resource/Logistic_regression
COMP 6321 Machine Learning,decision trees,http://dbpedia.org/resource/Decision_tree_learning
COMP 6321 Machine Learning,instance-based learning,http://dbpedia.org/resource/Instance-based_learning
COMP 6321 Machine Learning,neural networks,http://dbpedia.org/resource/Artificial_neural_network
COMP 6321 Machine Learning,support vector machines,http://dbpedia.org/resource/Support_vector_machine
COMP 6321 Machine Learning,computational learning theory,http://dbpedia.org/resource/Computational_learning_theory
COMP 6321 Machine Learning,deep belief networks,http://dbpedia.org/resource/Deep_belief_network
COMP 6321 Machine Learning,unsupervised learning,http://dbpedia.org/resource/Unsupervised_learning
COMP 6321 Machine Learning,k-means,http://dbpedia.org/resource/K-means_clustering
COMP 6321 Machine Learning,expectation maximization,http://dbpedia.org/resource/Expectation�maximization_algorithm
COMP 6321 Machine Learning,principle component analysis,http://dbpedia.org/resource/Principal_component_analysis
COMP 6321 Machine Learning,dimensionality reduction,http://dbpedia.org/resource/Dimensionality_reduction
COMP 6321 Machine Learning,dynamical systems,http://dbpedia.org/resource/Dynamical_system
COMP 6321 Machine Learning,markov,http://dbpedia.org/resource/Hidden_Markov_model
COMP 6321 Machine Learning,reinforcement learning,http://dbpedia.org/resource/Reinforcement_learning
COMP 6321 Machine Learning,machine learning,http://dbpedia.org/resource/Machine_learning
